%	Date:	2006-06-01	Time:	01:16:04
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.89200
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
5.8180E+2	2.4881E+1	1.7180E-1	-6.5057E+1	-8.4245E+1	-7.0295E+1	-6.8920E+1	-7.0619E+1
6.0568E+2	2.4881E+1	1.5689E-1	-6.5084E+1	-8.4260E+1	-7.0368E+1	-6.8961E+1	-7.0579E+1
6.3054E+2	2.4882E+1	1.4225E-1	-6.5337E+1	-8.5485E+1	-7.0685E+1	-6.9167E+1	-7.0798E+1
6.5643E+2	2.4882E+1	1.2774E-1	-6.5257E+1	-8.4757E+1	-7.0588E+1	-6.9098E+1	-7.0742E+1
6.8338E+2	2.4882E+1	1.1338E-1	-6.5358E+1	-8.4851E+1	-7.0736E+1	-6.9184E+1	-7.0818E+1
7.1143E+2	2.4882E+1	9.9122E-2	-6.5545E+1	-8.5426E+1	-7.0970E+1	-6.9373E+1	-7.0940E+1
7.4064E+2	2.4882E+1	8.4886E-2	-6.5492E+1	-8.5164E+1	-7.0909E+1	-6.9326E+1	-7.0895E+1
7.7105E+2	2.4882E+1	7.0866E-2	-6.5614E+1	-8.5422E+1	-7.1083E+1	-6.9423E+1	-7.0994E+1
8.0270E+2	2.4882E+1	5.6833E-2	-6.5784E+1	-8.6156E+1	-7.1266E+1	-6.9595E+1	-7.1129E+1
8.3565E+2	2.4882E+1	4.2963E-2	-6.5845E+1	-8.5843E+1	-7.1375E+1	-6.9631E+1	-7.1193E+1
8.6996E+2	2.4883E+1	2.8994E-2	-6.5888E+1	-8.5858E+1	-7.1454E+1	-6.9671E+1	-7.1208E+1
9.0568E+2	2.4883E+1	1.5053E-2	-6.6093E+1	-8.6304E+1	-7.1708E+1	-6.9865E+1	-7.1376E+1
9.4286E+2	2.4883E+1	1.0503E-3	-6.6101E+1	-8.6248E+1	-7.1746E+1	-6.9844E+1	-7.1397E+1
9.8156E+2	2.4883E+1	-1.2952E-2	-6.6292E+1	-8.6546E+1	-7.1969E+1	-7.0038E+1	-7.1551E+1
1.0219E+3	2.4883E+1	-2.7018E-2	-6.6454E+1	-8.6345E+1	-7.2184E+1	-7.0178E+1	-7.1709E+1
1.0638E+3	2.4883E+1	-4.1201E-2	-6.6522E+1	-8.6497E+1	-7.2307E+1	-7.0233E+1	-7.1742E+1
1.1075E+3	2.4883E+1	-5.5390E-2	-6.6737E+1	-8.6472E+1	-7.2589E+1	-7.0414E+1	-7.1957E+1
1.1530E+3	2.4883E+1	-6.9766E-2	-6.6959E+1	-8.5947E+1	-7.2915E+1	-7.0625E+1	-7.2135E+1
1.2003E+3	2.4884E+1	-8.4293E-2	-6.7143E+1	-8.6095E+1	-7.3114E+1	-7.0811E+1	-7.2304E+1
1.2496E+3	2.4884E+1	-9.9007E-2	-6.7415E+1	-8.5198E+1	-7.3486E+1	-7.1057E+1	-7.2588E+1
1.3009E+3	2.4884E+1	-1.1398E-1	-6.7446E+1	-8.5181E+1	-7.3534E+1	-7.1106E+1	-7.2581E+1
1.3543E+3	2.4884E+1	-1.2901E-1	-6.7756E+1	-8.4323E+1	-7.3998E+1	-7.1370E+1	-7.2910E+1
1.4099E+3	2.4884E+1	-1.4430E-1	-6.8064E+1	-8.3488E+1	-7.4489E+1	-7.1651E+1	-7.3210E+1
1.4677E+3	2.4884E+1	-1.5993E-1	-6.8234E+1	-8.3194E+1	-7.4710E+1	-7.1826E+1	-7.3383E+1
1.5280E+3	2.4884E+1	-1.7586E-1	-6.8593E+1	-8.2344E+1	-7.5303E+1	-7.2197E+1	-7.3701E+1
1.5907E+3	2.4884E+1	-1.9204E-1	-6.8927E+1	-8.1465E+1	-7.5833E+1	-7.2508E+1	-7.4128E+1
1.6560E+3	2.4885E+1	-2.0862E-1	-6.9519E+1	-8.0267E+1	-7.6814E+1	-7.3127E+1	-7.4839E+1
1.7240E+3	2.4885E+1	-2.2553E-1	-6.9543E+1	-8.0099E+1	-7.6945E+1	-7.3180E+1	-7.4810E+1
1.7948E+3	2.4885E+1	-2.4283E-1	-6.9946E+1	-7.9321E+1	-7.7728E+1	-7.3596E+1	-7.5377E+1
